"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2021","48,403","47,934","49,107","47,699","516.01K","1.48%"
"04/27/2021","47,699","46,526","47,699","46,135","723.44K","2.52%"
"04/26/2021","46,526","47,074","47,074","45,275","582.00K","-1.16%"
"04/23/2021","47,074","46,214","47,074","46,135","429.56K","2.04%"
"04/22/2021","46,135","47,699","48,168","46,135","480.21K","-3.28%"
"04/20/2021","47,699","48,403","48,872","47,699","501.05K","-1.45%"
"04/19/2021","48,403","48,090","48,481","46,917","368.56K","0.65%"
"04/16/2021","48,090","48,872","48,872","47,699","391.20K","-1.60%"
"04/15/2021","48,872","48,168","48,872","47,308","573.82K","1.63%"
"04/14/2021","48,090","49,263","49,263","47,308","455.40K","-2.38%"
"04/13/2021","49,263","49,263","49,420","48,950","462.69K","0.00%"
"04/12/2021","49,263","49,263","49,420","48,950","538.01K","-0.16%"
"04/09/2021","49,341","49,263","49,420","46,917","535.07K","0.16%"
"04/08/2021","49,263","49,185","49,263","48,872","463.33K","0.00%"
"04/07/2021","49,263","49,576","49,576","48,325","398.11K","-0.63%"
"04/06/2021","49,576","51,062","51,062","48,872","520.75K","-2.91%"
"04/05/2021","51,062","51,140","51,218","50,202","507.45K","-0.30%"
"04/02/2021","51,218","50,827","51,453","50,592","414.35K","0.77%"
"04/01/2021","50,827","49,263","50,905","49,263","528.68K","3.17%"
"03/31/2021","49,263","48,481","49,811","48,325","444.78K","1.61%"
"03/30/2021","48,481","50,202","50,358","47,543","535.71K","-3.43%"
"03/29/2021","50,202","50,827","50,827","49,654","421.89K","-1.23%"
"03/26/2021","50,827","47,699","50,827","47,699","423.94K","1.24%"
"03/25/2021","50,202","47,699","50,436","45,353","620.11K","4.39%"
"03/24/2021","48,090","48,872","48,872","47,308","438.01K","-2.38%"
"03/23/2021","49,263","49,732","50,045","48,481","463.58K","-2.33%"
"03/22/2021","50,436","52,078","52,078","49,654","389.66K","-3.73%"
"03/19/2021","52,391","52,391","52,391","50,436","489.67K","-0.74%"
"03/18/2021","52,782","51,609","53,095","50,827","442.86K","0.75%"
"03/17/2021","52,391","51,609","52,704","48,090","496.32K","3.08%"
"03/16/2021","50,827","51,982","52,521","49,672","481.74K","-2.80%"
"03/15/2021","52,290","52,752","52,752","51,058","481.49K","-1.45%"
"03/12/2021","53,060","52,752","53,060","51,597","411.41K","-0.86%"
"03/11/2021","53,522","51,982","53,522","49,518","494.66K","2.96%"
"03/10/2021","51,982","53,830","53,830","50,442","297.08K","-3.43%"
"03/09/2021","53,830","53,522","53,830","51,212","271.24K","0.00%"
"03/08/2021","53,830","53,907","53,907","50,442","401.43K","0.72%"
"03/05/2021","53,445","48,363","53,522","48,363","391.46K","2.97%"
"03/04/2021","51,905","55,525","55,525","51,905","220.22K","-6.91%"
"03/03/2021","55,756","55,679","55,756","53,137","321.12K","0.14%"
"03/02/2021","55,679","55,910","56,064","54,061","289.79K","-0.41%"
"03/01/2021","55,910","53,137","55,910","49,441","571.90K","5.22%"
"02/26/2021","53,137","55,833","55,833","52,290","490.05K","-5.48%"
"02/25/2021","56,218","57,758","58,913","55,679","386.21K","-2.67%"
"02/24/2021","57,758","55,602","57,989","55,448","400.15K","4.17%"
"02/23/2021","55,448","58,220","58,528","55,448","360.76K","-6.61%"
"02/22/2021","59,375","59,683","59,683","55,833","417.29K","-0.52%"
"02/19/2021","59,683","61,994","61,994","59,067","520.75K","-5.95%"
"02/18/2021","63,457","64,843","65,459","63,072","386.34K","-2.02%"
"02/17/2021","64,766","60,684","64,766","60,607","556.55K","7.00%"
"02/09/2021","60,530","56,680","60,530","56,680","656.05K","6.94%"
"02/08/2021","56,603","55,448","57,142","52,598","428.03K","0.14%"
"02/05/2021","56,526","55,448","57,527","55,448","482.13K","1.94%"
"02/04/2021","55,448","54,370","55,910","54,139","421.38K","2.13%"
"02/03/2021","54,293","52,367","54,293","49,287","575.99K","5.23%"
"02/02/2021","51,597","49,287","52,521","47,747","546.71K","5.01%"
"02/01/2021","49,133","49,287","49,287","47,747","426.62K","-0.31%"
"01/29/2021","49,287","45,436","49,441","43,511","491.84K","6.67%"
"01/28/2021","46,206","48,902","49,056","45,898","382.12K","-6.25%"
"01/27/2021","49,287","51,597","51,751","48,517","326.23K","-3.03%"
"01/26/2021","50,827","51,751","52,059","50,827","248.61K","-1.49%"
"01/25/2021","51,597","52,367","52,752","51,289","417.16K","-0.59%"
"01/22/2021","51,905","49,672","52,752","49,672","532.77K","1.97%"
"01/21/2021","50,904","52,367","52,906","49,441","421.25K","-2.36%"
"01/20/2021","52,136","51,982","52,367","50,827","361.27K","-0.44%"
"01/19/2021","52,367","51,828","52,367","50,057","296.18K","1.04%"
"01/18/2021","51,828","50,673","52,290","49,595","518.70K","2.75%"
"01/15/2021","50,442","51,982","52,752","49,672","569.73K","-2.67%"
"01/14/2021","51,828","52,983","53,368","51,520","469.21K","-1.75%"
"01/13/2021","52,752","49,826","53,137","49,672","563.84K","6.20%"
"01/12/2021","49,672","48,902","49,672","47,747","552.85K","0.78%"
"01/11/2021","49,287","48,825","50,057","47,670","584.18K","0.95%"
"01/08/2021","48,825","48,517","50,288","48,517","486.73K","1.12%"
"01/07/2021","48,286","46,591","48,440","46,591","694.80K","4.85%"
"01/06/2021","46,052","45,436","47,747","45,436","615.89K","3.10%"
"01/05/2021","44,666","45,051","45,205","43,896","446.70K","-0.68%"
"01/04/2021","44,974","44,281","45,821","43,819","665.90K","2.82%"
"12/31/2020","43,742","41,586","44,435","40,816","626.14K","5.18%"
"12/30/2020","41,586","39,121","41,586","39,044","408.30K","6.93%"
"12/29/2020","38,890","37,581","39,275","37,350","605.80K","4.12%"
"12/28/2020","37,350","37,350","37,889","37,350","290.29K","0.73%"
"12/25/2020","37,081","36,734","38,120","36,195","278.55K","0.94%"
"12/24/2020","36,734","37,042","37,312","36,041","270.68K","-1.45%"
"12/23/2020","37,273","37,273","37,504","37,081","345.12K","0.00%"
"12/22/2020","37,273","37,543","38,043","37,119","237.73K","-0.62%"
"12/21/2020","37,504","37,350","37,504","36,927","309.58K","1.46%"
"12/18/2020","36,965","36,580","37,119","36,503","252.27K","0.52%"
"12/17/2020","36,773","36,965","37,119","36,657","232.03K","-0.52%"
"12/16/2020","36,965","36,965","37,581","36,811","255.87K","1.05%"
"12/15/2020","36,580","37,735","37,735","35,386","258.58K","-2.36%"
"12/14/2020","37,466","38,120","38,274","37,350","265.30K","-0.71%"
"12/11/2020","37,735","36,811","38,505","36,811","353.74K","0.20%"
"12/10/2020","37,658","37,658","38,120","37,581","255.51K","0.00%"
"12/09/2020","37,658","37,735","38,043","37,466","266.38K","-0.20%"
"12/08/2020","37,735","37,735","38,197","37,466","262.50K","-0.51%"
"12/07/2020","37,928","37,928","38,082","37,889","184.79K","0.00%"
"12/04/2020","37,928","37,735","38,313","37,735","282.38K","-0.70%"
"12/03/2020","38,197","38,313","38,467","38,120","209.53K","-0.30%"
"12/02/2020","38,313","38,120","38,582","37,735","198.73K","0.00%"
"12/01/2020","38,313","37,735","38,313","36,965","259.09K","0.20%"
"11/30/2020","38,236","38,505","38,505","37,504","268.30K","0.10%"
"11/27/2020","38,197","39,198","39,969","37,697","213.84K","-2.55%"
"11/26/2020","39,198","38,120","39,583","37,735","216.62K","0.99%"
"11/25/2020","38,813","39,583","39,892","37,581","206.50K","-1.95%"
"11/24/2020","39,583","39,661","39,969","37,735","199.64K","-0.20%"
"11/23/2020","39,661","40,046","40,662","39,275","199.92K","0.20%"
"11/20/2020","39,583","37,504","39,583","37,504","175.19K","5.54%"
"11/19/2020","37,504","39,583","39,583","37,350","193.06K","-3.56%"
"11/18/2020","38,890","39,969","39,969","38,582","228.24K","-1.17%"
"11/17/2020","39,352","39,969","39,969","38,890","168.28K","0.59%"
"11/16/2020","39,121","40,046","40,046","38,120","183.40K","-0.59%"
"11/13/2020","39,352","39,661","40,816","39,275","165.79K","-0.78%"
"11/12/2020","39,661","39,429","39,661","38,890","251.96K","0.59%"
"11/11/2020","39,429","39,969","39,969","38,813","170.91K","-0.58%"
"11/10/2020","39,661","40,046","40,046","38,659","181.52K","-0.77%"
"11/09/2020","39,969","40,277","40,277","38,582","189.61K","-0.19%"
"11/06/2020","40,046","40,277","40,508","39,275","182.89K","-0.57%"
"11/05/2020","40,277","40,816","40,816","39,275","222.24K","-1.32%"
"11/04/2020","40,816","40,046","40,816","40,046","212.19K","2.12%"
"11/03/2020","39,969","39,275","41,586","39,275","343.09K","2.77%"
"11/02/2020","38,890","37,735","38,890","36,965","236.74K","2.53%"
"10/30/2020","37,930","39,079","39,079","37,930","258.27K","-2.17%"
"10/29/2020","38,773","38,773","38,773","37,930","188.16K","0.00%"
"10/28/2020","38,773","38,313","38,773","37,394","234.03K","0.00%"
"10/27/2020","38,773","39,079","39,156","37,164","262.05K","-0.78%"
"10/26/2020","39,079","39,463","39,463","38,313","195.62K","0.00%"
"10/23/2020","39,079","39,463","39,463","37,930","162.42K","0.19%"
"10/22/2020","39,003","39,079","39,079","37,547","190.71K","-0.19%"
"10/21/2020","39,079","39,769","39,769","38,313","217.40K","0.00%"
"10/20/2020","39,079","38,696","39,233","38,007","202.42K","0.00%"
"10/19/2020","39,079","38,696","39,769","37,547","254.58K","-0.39%"
"10/16/2020","39,233","39,079","39,463","38,313","225.58K","2.40%"
"10/15/2020","38,313","39,079","39,846","38,007","175.22K","-4.22%"
"10/14/2020","39,999","39,846","40,612","37,968","170.52K","0.00%"
"10/13/2020","39,999","40,612","40,612","38,007","184.02K","0.19%"
"10/12/2020","39,922","40,535","40,535","38,313","171.08K","-0.38%"
"10/09/2020","40,076","40,229","40,382","38,313","209.59K","-0.38%"
"10/08/2020","40,229","40,459","40,995","39,846","182.96K","0.00%"
"10/07/2020","40,229","40,765","40,842","40,229","223.15K","-1.31%"
"10/06/2020","40,765","40,612","40,918","40,382","279.40K","0.38%"
"10/05/2020","40,612","40,382","40,612","39,769","247.99K","0.57%"
"10/02/2020","40,382","41,685","42,145","40,229","179.73K","-3.13%"
"10/01/2020","41,685","41,378","41,915","40,229","202.81K","0.74%"
